"","HHID","ea_id","FCS","HDDS","rCSI","rural","FS_year","FS_month","hhweight","lat_modified","lon_modified","round"
"231","101034520015","10103452",21,2,11,1,2010,12,53.3851013183594,-10.0370998382568,33.4541015625,2010
"232","101034520017","10103452",28,5,0,1,2010,12,53.3851013183594,-10.0370998382568,33.4541015625,2010
"233","101034520019","10103452",22,3,6,1,2010,11,53.3851013183594,-10.0370998382568,33.4541015625,2010
"234","101034520023","10103452",22,3,0,1,2010,12,53.3851013183594,-10.0370998382568,33.4541015625,2010
"235","101034520025","10103452",23.5,4,0,1,2010,11,53.3851013183594,-10.0370998382568,33.4541015625,2010
"236","101034520029","10103452",35.5,5,0,1,2010,11,53.3851013183594,-10.0370998382568,33.4541015625,2010
"237","101034520033","10103452",32.5,5,0,1,2010,11,53.3851013183594,-10.0370998382568,33.4541015625,2010
"238","101034520035","10103452",29.5,5,0,1,2010,12,53.3851013183594,-10.0370998382568,33.4541015625,2010
"239","101034520037","10103452",27.5,6,0,1,2010,12,53.3851013183594,-10.0370998382568,33.4541015625,2010
"240","101034520041","10103452",53,6,0,1,2010,11,53.3851013183594,-10.0370998382568,33.4541015625,2010
"241","101036810007","10103681",37,4,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"242","101036810011","10103681",37,4,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"243","101036810015","10103681",27,3,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"244","101036810019","10103681",64,6,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"245","101036810027","10103681",36,7,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"246","101036810031","10103681",28,5,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"247","101036810036","10103681",34.5,6,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"248","101036810040","10103681",36,4,2,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"249","101036810048","10103681",53,4,2,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"250","101036810052","10103681",45,3,2,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"251","101036810056","10103681",42.5,7,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"252","101036810060","10103681",29,5,1,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"253","101036810068","10103681",29.5,5,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"254","101036810072","10103681",21,2,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"255","101036810077","10103681",22.5,4,3,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"256","101036810085","10103681",33.5,4,0,1,2011,3,85.3752975463867,-10.2009000778198,33.5987014770508,2010
"257","101041500004","10104150",29,4,0,1,2010,7,88.4031982421875,-10.1988000869751,33.663501739502,2010
"258","101041500006","10104150",45,6,9,1,2010,7,88.4031982421875,-10.1988000869751,33.663501739502,2010
"259","101041500012","10104150",40,5,0,1,2010,7,88.4031982421875,-10.1988000869751,33.663501739502,2010
"260","101041500013","10104150",38.5,4,0,1,2010,7,88.4031982421875,-10.1988000869751,33.663501739502,2010
